url	page_title	name	city_type	official_name	state	county	nickname	motto	population_total	population_city	population_estimate	population_rank	population_density	established_date	named_for	government_type	government_body	area_total	area_city	area_land	area_water	elevation	highest_elevation	timezone	summer_dst	zip_code	area_code	fips_code	gnis_feature_id	website	coordinates	coordinates_link
https://en.wikipedia.org/wiki/Abbyville,_Kansas	Abbyville, Kansas	Abbyville, Kansas	City	 	Kansas	Reno	 	 	83	 	 	 	309.70/sq mi (119.71/km2)	 	Abby McLean	 	 	0.27 sq mi (0.69 km2)	 	0.27 sq mi (0.69 km2)	0.00 sq mi (0.00 km2)	1,650 ft (500 m)	 	UTC-6 (CST)	UTC-5 (CDT)	67510	620	20-00100	 	 	37°58′14″N 98°12′11″W	https://geohack.toolforge.org/geohack.php?pagename=Abbyville,_Kansas&params=37_58_14_N_98_12_11_W_region:US-KS_type:city_source:GNIS
https://en.wikipedia.org/wiki/Abell,_Maryland	Abell, Maryland			 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
https://en.wikipedia.org/wiki/Abercrombie,_North_Dakota	Abercrombie, North Dakota	Abercrombie, North Dakota	City	 	North Dakota	Richland	 	 	244	 	 	 	753.09/sq mi (290.83/km2)	 	 	 	 	0.32 sq mi (0.84 km2)	 	0.32 sq mi (0.84 km2)	0.00 sq mi (0.00 km2)	935 ft (285 m)	 	UTC-6 (CST)	UTC-5 (CDT)	58001	701	38-00100	1035900[2]	 	46°26′49″N 96°43′46″W	https://geohack.toolforge.org/geohack.php?pagename=Abercrombie,_North_Dakota&params=46_26_49_N_96_43_46_W_region:US-ND_type:city(296)
https://en.wikipedia.org/wiki/Aberdeen,_Idaho	Aberdeen, Idaho	Aberdeen, Idaho	City	 	Idaho	Bingham	 	 	1,756	 	 	 	1,704.85/sq mi (658.47/km2)	 	 	 	 	1.03 sq mi (2.67 km2)	 	1.03 sq mi (2.67 km2)	0.00 sq mi (0.00 km2)	4,403 ft (1,342 m)	 	UTC-7 (Mountain (MST))	UTC-6 (MDT)	83210	208, 986	16-00100	0396023	www.aberdeenidaho.us	42°56′36″N 112°50′22″W	https://geohack.toolforge.org/geohack.php?pagename=Aberdeen,_Idaho&params=42_56_36_N_112_50_22_W_region:US_type:city
https://en.wikipedia.org/wiki/Aberdeen,_Kentucky	Aberdeen, Kentucky	Aberdeen	Unincorporated community	 	Kentucky	Butler	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	541 ft (165 m)	 	UTC-6 (Central (CST))	UTC-5 (CDT)	42201	 	 	485727[1]	 	37°15′14″N 86°40′54″W	https://geohack.toolforge.org/geohack.php?pagename=Aberdeen,_Kentucky&params=37_15_14_N_86_40_54_W_region:US_type:city
https://en.wikipedia.org/wiki/Aberdeen,_Maryland	Aberdeen, Maryland	Aberdeen, Maryland	City	 	Maryland	Harford	 	 	16,254	 	 	 	2,464.59/sq mi (951.62/km2)	 	 	 	 	6.60 sq mi (17.10 km2)	 	6.59 sq mi (17.08 km2)	0.01 sq mi (0.02 km2)	95 ft (29 m)	 	UTC−5 (Eastern)	UTC−4 (Eastern)	21001	410	24-00125	0582854	Official Website	39°30′37″N 76°10′9″W	https://geohack.toolforge.org/geohack.php?pagename=Aberdeen,_Maryland&params=39_30_37_N_76_10_9_W_region:US-MD_type:city(16254)
https://en.wikipedia.org/wiki/Aberdeen,_Mississippi	Aberdeen, Mississippi	Aberdeen, Mississippi	City	 	Mississippi	Monroe	 	 	4,961	 	 	 	410.34/sq mi (158.43/km2)	 	 	 	 	12.37 sq mi (32.04 km2)	 	12.09 sq mi (31.31 km2)	0.28 sq mi (0.73 km2)	240 ft (73 m)	 	UTC-6 (Central (CST))	UTC-5 (CDT)	39730	662	28-00180	666129[2]	http://cityofaberdeenms.com/	33°49′28″N 88°32′59″W	https://geohack.toolforge.org/geohack.php?pagename=Aberdeen,_Mississippi&params=33_49_28_N_88_32_59_W_region:US-MS_type:city(6415)
https://en.wikipedia.org/wiki/Aberdeen,_North_Carolina	Aberdeen, North Carolina	Aberdeen	Town	 	North Carolina	Moore	 	 	8,516	 	 	 	815.71/sq mi (314.94/km2)	 	Aberdeen, MS[1]	Commissioner-manager	 	10.63 sq mi (27.52 km2)	 	10.44 sq mi (27.04 km2)	0.19 sq mi (0.48 km2)	381 ft (116 m)	 	UTC-5 (Eastern (EST))	UTC-4 (EDT)	28315	910, 472	37-00160[5]	2405118[4]	www.townofaberdeen.net	35°08′05″N 79°25′58″W	https://geohack.toolforge.org/geohack.php?pagename=Aberdeen,_North_Carolina&params=35_08_05_N_79_25_58_W_region:US-NC_type:city(8516)
https://en.wikipedia.org/wiki/Aberdeen,_Ohio	Aberdeen, Ohio	Aberdeen, Ohio	Village	 	Ohio	Brown	 	 	1,515	 	 	 	1,122.22/sq mi (433.21/km2)	 	 	 	 	1.63 sq mi (4.23 km2)	 	1.35 sq mi (3.50 km2)	0.28 sq mi (0.74 km2)	515 ft (157 m)	 	UTC-5 (Eastern (EST))	UTC-4 (EDT)	45101	937, 326	39-00142[3]	1056195[2]	Village website	38°39′54″N 83°46′3″W	https://geohack.toolforge.org/geohack.php?pagename=Aberdeen,_Ohio&params=38_39_54_N_83_46_3_W_region:US-OH_type:city(1603)
https://en.wikipedia.org/wiki/Aberdeen,_South_Dakota	Aberdeen, South Dakota	Aberdeen	City	 	South Dakota	Brown	 	 	 	28,324	 	 	1,725.19/sq mi (666.11/km2)	1880	 	 	 	 	16.59 sq mi (42.98 km2)	16.52 sq mi (42.78 km2)	0.08 sq mi (0.20 km2)	1,299 ft (396 m)	 	UTC−6 (Central)	UTC−5 (Central)	57401-57402	605	46-00100	1267258[4]	aberdeen.sd.us	45°27′53″N 98°28′07″W	https://geohack.toolforge.org/geohack.php?pagename=Aberdeen,_South_Dakota&params=45_27_53_N_98_28_07_W_region:US-SD_type:city_source:GNIS
https://en.wikipedia.org/wiki/Aberdeen,_Washington	Aberdeen, Washington	Aberdeen, Washington	City	 	Washington	Grays Harbor	 	 	 	17,013	17,191	 	1,541.07/sq mi (595.03/km2)	 	 	Mayor–Council	 	 	12.58 sq mi (32.57 km2)	10.87 sq mi (28.16 km2)	1.70 sq mi (4.41 km2)	23 ft (7 m)	 	UTC−8 (Pacific (PST))	UTC−7 (PDT)	98520	360	53-00100	 	aberdeenwa.gov	46°58′33″N 123°49′7″W	https://geohack.toolforge.org/geohack.php?pagename=Aberdeen,_Washington&params=46_58_33_N_123_49_7_W_region:US-WA_type:city_source:GNIS
https://en.wikipedia.org/wiki/Aberdeen_Proving_Ground,_Maryland	Aberdeen Proving Ground			 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	39°28′24″N 76°08′27″W	https://geohack.toolforge.org/geohack.php?pagename=Aberdeen_Proving_Ground&params=39.473451_N_76.140837_W_type:landmark_region:US-MA
https://en.wikipedia.org/wiki/Aberdeen_Township,_New_Jersey	Aberdeen Township, New Jersey	Aberdeen Township, New Jersey	Township	 	New Jersey	Monmouth	 	 	19,329	 	19,264	143rd of 565 in state11th of 53 in county[12]	3,550.2/sq mi (1,370.7/km2)	 	 	Faulkner Act (council–manager)	Township Council	7.77 sq mi (20.13 km2)	 	5.45 sq mi (14.10 km2)	2.33 sq mi (6.03 km2)  29.95%	13 ft (4 m)	 	UTC−05:00 (Eastern (EST))	UTC−04:00 (Eastern (EDT))	 	732[14]	3402500070[1][15][16]	0882121[1][17]	www.aberdeennj.org	40°25′48″N 74°13′30″W	https://geohack.toolforge.org/geohack.php?pagename=Aberdeen_Township,_New_Jersey&params=40.430068_N_74.225075_W_region:US-NJ_type:city
https://en.wikipedia.org/wiki/Abernant,_Alabama	Abernant, Alabama	Abernant, Alabama	Unincorporated community	 	Alabama	Tuscaloosa	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	466 ft (142 m)	 	UTC-6 (Central (CST))	UTC-5 (CDT)	35440	205, 659	 	112892[1]	 	33°17′25″N 87°11′53″W	https://geohack.toolforge.org/geohack.php?pagename=Abernant,_Alabama&params=33_17_25_N_87_11_53_W_region:US-AL_type:city
https://en.wikipedia.org/wiki/Abernathy,_Texas	Abernathy, Texas	Abernathy, Texas		 	Texas	 	 	 	2,831	 	2,804	 	845.10/sq mi (326.26/km2)	 	 	 	 	3.21 sq mi (8.31 km2)	 	3.20 sq mi (8.29 km2)	0.01 sq mi (0.01 km2)	3,360 ft (1,020 m)	 	UTC-6 (CST)	 	79311	806	48-00160	 	cityofabernathy.org	33°49′56″N 101°50′35″W	https://geohack.toolforge.org/geohack.php?pagename=Abernathy,_Texas&params=33_49_56_N_101_50_35_W_type:city(2831)_region:US-TX
https://en.wikipedia.org/wiki/Abie,_Nebraska	Abie, Nebraska	Abie, Nebraska	Village	 	Nebraska	Butler	 	 	65	 	 	 	698.92/sq mi (270.01/km2)	 	 	 	 	0.09 sq mi (0.24 km2)	 	0.09 sq mi (0.24 km2)	0.00 sq mi (0.00 km2)	1,450 ft (440 m)	 	UTC-6 (Central (CST))	UTC-5 (CDT)	68001	402	31-00205[3]	2397906[2]	 	41°20′03″N 96°56′59″W	https://geohack.toolforge.org/geohack.php?pagename=Abie,_Nebraska&params=41_20_03_N_96_56_59_W_region:US_type:city
https://en.wikipedia.org/wiki/Abilene,_Kansas	Abilene, Kansas	Abilene, Kansas	City	 	Kansas	Dickinson	 	 	6,460	 	 	 	1,400/sq mi (520/km2)	 	Luke 3:1 (bible)	Mayor–Council	 	4.76 sq mi (12.34 km2)	 	4.76 sq mi (12.33 km2)	0.00 sq mi (0.01 km2)	1,145 ft (349 m)	 	UTC-6 (CST)	UTC-5 (CDT)	67410	785	20-00125	 	abilenecityhall.com	38°55′23″N 97°13′31″W	https://geohack.toolforge.org/geohack.php?pagename=Abilene,_Kansas&params=38_55_23_N_97_13_31_W_region:US-KS_type:city_source:GNIS
https://en.wikipedia.org/wiki/Abilene,_Texas	Abilene, Texas	Abilene	City	 	Texas	1883[1]	 	 	 	125,182	 	 	1,157/sq mi (447/km2)	1881[1]	Abilene, Kansas[1]	Mayor–council–manager	 	 	112.09 sq mi (290.32 km2)	106.67 sq mi (276.27 km2)	5.42 sq mi (14.05 km2)	1,719 ft (527 m)	 	UTC−6 (CST)	UTC−5 (CDT)	79601-08 79697-99[5]	325	48-01000[6]	1329173[7]	abilenetx.com	32°27′N 99°45′W	https://geohack.toolforge.org/geohack.php?pagename=Abilene,_Texas&params=32_27_N_99_45_W_region:US-TX_type:city
https://en.wikipedia.org/wiki/Abingdon,_Illinois	Abingdon, Illinois	Abingdon, Illinois	City	 	Illinois	Knox	 	 	2,951	 	 	 	2,070.88/sq mi (799.77/km2)	 	 	 	 	1.43 sq mi (3.69 km2)	 	1.43 sq mi (3.69 km2)	0.00 sq mi (0.00 km2)	751 ft (229 m)	 	 	 	61410	 	17-00113	2393876[2]	 	40°48′14″N 90°24′03″W	https://geohack.toolforge.org/geohack.php?pagename=Abingdon,_Illinois&params=40_48_14_N_90_24_03_W_type:city(2951)_region:US-IL
https://en.wikipedia.org/wiki/Abingdon,_Maryland	Abingdon, Maryland	Abingdon, Maryland	census-designated place	 	Maryland	Harford	 	 	4,826	 	 	 	1,747.28/sq mi (674.53/km2)	 	 	 	 	2.77 sq mi (7.19 km2)	 	2.76 sq mi (7.15 km2)	0.01 sq mi (0.03 km2)	167 ft (51 m)	 	UTC-5 (EST)	UTC-4 (EDT)	21009[2]	 	24-00200	 	www.epodunk.com/cgi-bin/genInfo.php?locIndex=2431	39°28.0′N 76°16.9′W	https://geohack.toolforge.org/geohack.php?pagename=Abingdon,_Maryland&params=39_28.0_N_76_16.9_W_region:US-MD_type:city(4826)
https://en.wikipedia.org/wiki/Abingdon,_Virginia	Abingdon, Virginia	Abingdon	Town	 	Virginia	Washington	 	 	8,376	 	7,867	 	1,039/sq mi (377.38/km2)	 	 	 	 	8.06 sq mi (20.87 km2)	 	8.05 sq mi (20.85 km2)	0.01 sq mi (0.02 km2)	2,087 ft (636 m)	 	UTC−5 (EST)	UTC−4 (EDT)	24210-24212	276	51-00148[3]	1498444[4]	www.abingdon-va.gov	36°42′35″N 81°58′32″W	https://geohack.toolforge.org/geohack.php?pagename=Abingdon,_Virginia&params=36_42_35_N_81_58_32_W_region:US-VA_type:city
https://en.wikipedia.org/wiki/Abington,_Connecticut	Pomfret, Connecticut	Pomfret, Connecticut	Town	 	Mae Flexer (D-29th District)	Windham	 	 	4,266	 	 	 	106/sq mi (40.9/km2)	 	 	Selectman-Town Meeting	 	40.6 sq mi (105.2 km2)	 	40.3 sq mi (104.4 km2)	0.3 sq mi (0.7 km2)	430 ft (131 m)	 	UTC−5 (Eastern)	UTC−4 (Eastern)	06259, 06258	860/959	09-61030	0213490	http://www.pomfretct.com/	41°52′N 71°59′W	https://geohack.toolforge.org/geohack.php?pagename=Pomfret,_Connecticut&params=41_52_N_71_59_W_region:US-CT_type:city(4266)
https://en.wikipedia.org/wiki/Abington,_Massachusetts	Abington, Massachusetts	Abington, Massachusetts	Town	 	Massachusetts	Plymouth	 	 	17,062	 	 	 	1,713.05/sq mi (661.42/km2)	1668[1]	Abingdon-on-Thames, UK	Open Town Meeting	 	10.19 sq mi (26.39 km2)	 	9.96 sq mi (25.80 km2)	0.23 sq mi (0.59 km2)	108 ft (33 m)	 	UTC−5 (Eastern)	UTC−4 (Eastern)	 	339/781	25-00135	0618336	www.abingtonma.gov	42°06′17″N 70°56′45″W	https://geohack.toolforge.org/geohack.php?pagename=Abington,_Massachusetts&params=42_06_17_N_70_56_45_W_region:US_type:city
https://en.wikipedia.org/wiki/Abington_Township,_Montgomery_County,_Pennsylvania	Abington Township, Montgomery County, Pennsylvania	Abington Township	Township	 	Pennsylvania	Montgomery	 	 	58,502	 	58,460	 	3,800/sq mi (1,500/km2)	 	 	 	 	15.52 sq mi (40.2 km2)	 	15.52 sq mi (40.2 km2)	0.00 sq mi (0.0 km2)	282 ft (86 m)	 	UTC−5 (Eastern (EST))	UTC−4 (EDT)	 	215, 267, and 445	42-091-00156	 	abingtonpa.gov	40°06′00″N 75°05′59″W	https://geohack.toolforge.org/geohack.php?pagename=Abington_Township,_Montgomery_County,_Pennsylvania&params=40_06_00_N_75_05_59_W_region:US-PA_type:city(58502)
https://en.wikipedia.org/wiki/Abiquiú,_New_Mexico	Abiquiú, New Mexico	Abiquiú, New Mexico	CDP	 	New Mexico	Rio Arriba	 	 	181	 	 	 	189.73/sq mi (73.28/km2)	 	 	 	 	0.95 sq mi (2.47 km2)	 	0.95 sq mi (2.47 km2)	0.00 sq mi (0.00 km2)	6,080 ft (1,853 m)	 	UTC−7 (Mountain (MST))	UTC−6 (MDT)	 	 	35-00310	 	 	36°12′34″N 106°19′7″W	https://geohack.toolforge.org/geohack.php?pagename=Abiqui%C3%BA,_New_Mexico&params=36_12_34_N_106_19_7_W_region:US_type:city
https://en.wikipedia.org/wiki/Abita_Springs,_Louisiana	Abita Springs, Louisiana	Abita Springs, Louisiana	Town	 	Louisiana	 	 	 	2,631	 	 	 	573.45/sq mi (221.39/km2)	 	 	 	 	4.60 sq mi (11.91 km2)	 	4.59 sq mi (11.88 km2)	0.01 sq mi (0.02 km2)	 	 	UTC-6 (CST)	UTC-5 (CDT)	 	985	22-00240	 	www.townofabitasprings.com	30°28′34″N 90°02′06″W	https://geohack.toolforge.org/geohack.php?pagename=Abita_Springs,_Louisiana&params=30_28_34_N_90_02_06_W_type:city(2631)_region:US-LA
https://en.wikipedia.org/wiki/Abraham,_Utah	Abraham, Utah			 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
https://en.wikipedia.org/wiki/Abrams,_Wisconsin	Abrams, Wisconsin	Abrams, Wisconsin	Town	 	Wisconsin	Oconto	 	 	1,960	 	 	 	46.9/sq mi (18.1/km2)	 	 	 	 	37.6 sq mi (97.3 km2)	 	37.5 sq mi (97.0 km2)	0.1 sq mi (0.3 km2)	696 ft (212 m)	 	UTC-6 (Central (CST))	UTC-5 (CDT)	 	920	55-00175[2]	1582651[1]	http://www.townofabrams.com	44°48′27″N 88°4′20″W	https://geohack.toolforge.org/geohack.php?pagename=Abrams,_Wisconsin&params=44_48_27_N_88_4_20_W_region:US-WI_type:city(1960)
https://en.wikipedia.org/wiki/Absaraka,_North_Dakota	Absaraka, North Dakota	Absaraka, North Dakota	Unincorporated community	 	North Dakota	Cass	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1,070 ft (330 m)	 	UTC-6 (Central (CST))	UTC-5 (CDT)	58002[2]	701	 	1027648[1]	 	46°58′41″N 97°23′40″W	https://geohack.toolforge.org/geohack.php?pagename=Absaraka,_North_Dakota&params=46_58_41_N_97_23_40_W_region:US-ND_type:city
https://en.wikipedia.org/wiki/Absarokee,_Montana	Absarokee, Montana	Absarokee, Montana	CDP	 	Montana	Stillwater	 	 	1,000	 	 	 	467.07/sq mi (180.34/km2)	 	 	 	 	2.15 sq mi (5.57 km2)	 	2.14 sq mi (5.54 km2)	0.01 sq mi (0.02 km2)	4,039 ft (1,231 m)	 	UTC−7 (Mountain (MST))	UTC−6 (MDT)	59001	406	30-00175	0801981	 	45°31′13″N 109°26′38″W	https://geohack.toolforge.org/geohack.php?pagename=Absarokee,_Montana&params=45_31_13_N_109_26_38_W_region:US-GA_type:city
https://en.wikipedia.org/wiki/Absecon,_New_Jersey	Absecon, New Jersey	Absecon, New Jersey	City	 	New Jersey	Atlantic	 	 	9,137	 	9,155	260th of 565 in state9th of 23 in county[13]	1,671.0/sq mi (645.2/km2)	 	Absegami Native Americans	City	City Council	7.22 sq mi (18.69 km2)	 	5.53 sq mi (14.33 km2)	1.69 sq mi (4.36 km2)  24.22%	3 ft (0.9 m)	 	UTC−05:00 (Eastern (EST))	UTC−04:00 (Eastern (EDT))	 	609 exchanges: 404, 652, 748[16]	3400100100[1][17][18]	0885134[1][19]	www.abseconnj.gov	39°25′25″N 74°29′35″W	https://geohack.toolforge.org/geohack.php?pagename=Absecon,_New_Jersey&params=39.423563_N_74.493025_W_region:US_type:city
https://en.wikipedia.org/wiki/Acampo,_California	Acampo, California	Acampo	census-designated place	 	California	San Joaquin	 	 	334	 	 	 	356.08/sq mi (137.53/km2)	 	 	 	 	0.94 sq mi (2.43 km2)	 	0.94 sq mi (2.43 km2)	0.00 sq mi (0.00 km2)  0%	52 ft (16 m)	 	UTC-8 (Pacific (PST))	UTC-7 (PDT)	95220[3]	209	 	2629758	 	38°10′19″N 121°16′49″W	https://geohack.toolforge.org/geohack.php?pagename=Acampo,_California&params=38_10_19_N_121_16_49_W_region:US_type:city
https://en.wikipedia.org/wiki/Accident,_Maryland	Accident, Maryland	Accident, Maryland	Town	 	Maryland	Garrett	 	 	338	 	 	 	684.21/sq mi (263.97/km2)	 	 	 	 	0.49 sq mi (1.28 km2)	 	0.49 sq mi (1.28 km2)	0.00 sq mi (0.00 km2)	2,385 ft (727 m)	 	UTC-5 (Eastern (EST))	UTC-4 (EDT)	21520	301, 240	24-00225	0582858	www.accidentmd.org	39°37′41″N 79°19′12″W	https://geohack.toolforge.org/geohack.php?pagename=Accident,_Maryland&params=39_37_41_N_79_19_12_W_region:US_type:city
https://en.wikipedia.org/wiki/Accokeek,_Maryland	Accokeek, Maryland	Accokeek, Maryland	Census-designated place	 	Maryland	Prince George's	 	 	13,927	 	 	118th[2]	507.78/sq mi (196.06/km2)	 	 	Unincorporated, county administrated	 	28.79 sq mi (74.57 km2)	 	27.43 sq mi (71.03 km2)	1.37 sq mi (3.54 km2)	194 ft (59 m)	 	UTC-5 (Eastern (EST))	UTC-4 (EDT)	20607	301, 240	24-00250	596993	 	38°40′35″N 77°00′01″W	https://geohack.toolforge.org/geohack.php?pagename=Accokeek,_Maryland&params=38_40_35_N_77_00_01_W_region:US-MD_type:city(13927)
https://en.wikipedia.org/wiki/Accomac,_Virginia	Accomac, Virginia	Accomac, Virginia	Town	 	Virginia	Accomack	 	 	526	 	522	 	1,188.73/sq mi (458.69/km2)	 	 	 	 	0.41 sq mi (1.06 km2)	 	0.41 sq mi (1.06 km2)	0.00 sq mi (0.00 km2)	39 ft (12 m)	 	UTC−5 (Eastern (EST))	UTC−4 (EDT)	23301	757, 948 (planned)	51-00180[4]	1498445[2]	Official website	37°43′7″N 75°40′2″W	https://geohack.toolforge.org/geohack.php?pagename=Accomac,_Virginia&params=37_43_7_N_75_40_2_W_region:US-VA_type:city
https://en.wikipedia.org/wiki/Accord,_Massachusetts	Hingham, Massachusetts	Hingham, Massachusetts	Town	 	Massachusetts	Plymouth	 	 	24,284	 	 	 	920/sq mi (360/km2)	1633 (as Bare Cove)	 	Open town meeting	 	26.3 sq mi (68.1 km2)	 	22.2 sq mi (57.5 km2)	4.1 sq mi (10.6 km2)	60 ft (18 m)	 	UTC-5 (Eastern)	UTC-4 (Eastern)	 	339/781	25-30210	0618342	Hingham, Massachusetts	42°14′N 70°53′W	https://geohack.toolforge.org/geohack.php?pagename=Hingham,_Massachusetts&params=42_14_N_70_53_W_region:US-MA_type:city(19882)
